Disb_Month,Media_source,stream_media_source,Business,Subbusiness,Org_Inorg,TotalDisbursalAmt,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,Total_Downloads
2025-05-31,ASO,ARAZIMEDIT6K_INT,EMI Card,IEMI,Inorganic,2650,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
2025-05-31,ASO,LISTMMPFQ_INT,RPL,RPL,Inorganic,54387,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-12-31,CD SOUTH WEST,BEACONADSS6_INT,WALLET_SETUP,WALLET_SETUP,Organic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-05-31,RPL,ORGANIC,EMI Card,IEMI,Organic,27030,0,9,10,4,4,6,7,3,3,5,0,0,0,0,51
2025-12-31,RCD SE,NONE,FASTAG_ISSUED,FASTAG_ISSUED,Organic,400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-05-31,ASO,CANDYADZCAKE_INT,RPL,RPL,Inorganic,229051,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-12-31,CD SOUTH WEST,MOLOCO_INT,BBPS_TXN,BBPS_TXN,Organic,141374,0,0,0,0,0,0,0,0,0,0,1,6,6,82,95
2025-12-31,RCD SE,HEREROCK_INT,BBPS_TXN,BBPS_TXN,Organic,3155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2025-12-31,MF,DESMOB_INT,UPI_TXN,UPI_TXN,Organic,2442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,SERVICE DELIVERY,APPLABS_INT,PPI_TXN,PPI_TXN,Organic,60521,3,19,30,24,17,4,5,10,4,8,8,4,0,0,136
2025-04-30,CD SBU,MOBHEADJD_INT,B2B,B2B,Organic,180747,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2025-05-31,ASO,OFFERSINFINITE_INT,EMI Card,IEMI,Inorganic,530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025-04-30,DPF PRIME,AMCOR_INT,BAJAJ PRIME,BAJAJ PRIME,Organic,699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,PAYMENTS QR,PDAVENUE_INT,BBPS_TXN,BBPS_TXN,Organic,349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2025-12-31,RCD NW,BRISKWALKS9H_INT,BBPS_TXN,BBPS_TXN,Organic,349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-12-31,DMS,ORGANIC,DOCTOR,DOCTOR,Organic,1307008,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
2025-12-31,RCD NW,BBAYOINT87_INT,UPI_TXN,UPI_TXN,Organic,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2025-05-31,ASO,ORGANIC ASO,Insurance,HI,Inorganic,29848,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
2025-05-31,ASO,GOOGLEADWORDS_INT,RPL,RPPL,Inorganic,749037,1,1,0,0,1,1,1,0,1,0,0,0,0,0,6
2025-04-30,DPF PRIME,BOBBLET9J_INT,SME,PROS PL,Organic,139898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,ASO,WIRELESSHDK_INT,BAJAJ PRIME,BAJAJ PRIME,Inorganic,3495,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
2025-05-31,RPPL,APPCLOUD_INT,EMI Card,IEMI,Organic,20140,36,2,0,0,0,0,0,0,0,0,0,0,0,0,38
2025-05-31,DPF PRIME,SPORTSGUR44_INT,Gold Loan,RGL,Organic,19618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2025-12-31,RPPL,SANDBOXADS_INT,EMI Card,IEMI,Organic,1060,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-04-30,CD SBU,HELLOGAMEH1_INT,PLCS,PLCS,Organic,72879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-31,ASO,SHELDONADQ8G_INT,BAJAJ PRIME,BAJAJ PRIME,Inorganic,1398,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
2025-05-31,PLCS PLTB,MOBAVENUE_INT,B2B,B2B,Organic,646912,20,3,1,0,0,0,0,0,0,0,0,0,0,0,24
2025-12-31,PLCS GROWTH SW,APPNEXT_INT,UPI_SETUP,UPI_SETUP,Organic,45,2,2,4,2,3,6,3,2,2,2,0,2,0,15,45
2025-05-31,CD NORTH EAST,MOBWIN_INT,B2B,B2B,Organic,132544,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2025-12-31,SERVICE DELIVERY,COOPERGROE7_INT,UPI_TXN,UPI_TXN,Organic,503,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025-04-30,GOLD LOAN,MINTEGRAL_INT,B2B,B2B,Organic,37500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,RCD NW,BIDROIDAGENCY,RPL,RPL,Organic,120225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-05-31,PLCS GROWTH SW,ORGANIC,Insurance,HI,Organic,103716,0,1,0,0,1,1,0,2,0,0,0,0,0,1,6
2025-12-31,CREDIT CARD DBS,ORGANIC,Gold Loan,RGL,Organic,484500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-04-30,ASO,AMERICANGAMING_INT,CPR,CPR,Inorganic,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-04-30,DMS,APPNEXT_INT,CPR,CPR,Organic,5000,1,3,2,0,2,0,0,0,0,1,1,0,0,0,10
2025-04-30,CD NORTH EAST,BOBBLET9J_INT,Insurance,HI,Organic,22932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,RCD SE,BRAZILRMY_INT,B2B,B2B,Organic,80999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-30,SERVICE DELIVERY,YEONSEMED3MJ_INT,EMI Card,IEMI,Organic,3180,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2025-04-30,PLCS T1,ORGANIC,Wheels,TW,Organic,869650,3,0,0,0,0,1,1,0,1,1,0,0,1,0,8
2025-05-31,PLCS GROWTH SW,APPNEXT_INT,B2B,B2B,Organic,955696,11,2,2,0,1,0,2,0,5,1,2,2,1,0,29
2025-12-31,RPL,MOBAVENUE2_INT,PPI_TXN,PPI_TXN,Organic,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2025-04-30,CD NORTH EAST,APPNEXT_INT,SME,PL PPL,Organic,485136,0,3,0,0,1,0,0,0,1,0,0,0,1,0,6
2025-12-31,PLCS T1,METBID_INT,BBPS_TXN,BBPS_TXN,Organic,573,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-12-31,2W SW,WEBFLUXMEUJG_INT,UPI_SETUP,UPI_SETUP,Organic,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-12-31,DPF GROWTH,RIPENMMRFB_INT,UPI_TXN,UPI_TXN,Organic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-04-30,SERVICE DELIVERY,APPNEXT_INT,EMI Card,IEMI,Organic,40280,58,1,0,4,7,1,1,0,1,1,1,1,0,0,76
